ItemNumber,ItemName,CorrectBasic,CorrectSize,SmallOrBig
1,01_apple.png,1,1,Big
1,01_desk.png,0.875,0.958333333,Small
2,02_carousel.png,0.791666667,0.833333333,Big
2,02_seashell.png,0.958333333,1,Small
3,03_baseball 2.png,0.958333333,1,Small
3,03_sofachair.png,0.916666667,0.958333333,Big
4,04_camera.png,1,1,Small
4,04_tractor11.png,1,1,Big
5,05_button.png,0.958333333,0.958333333,Small
5,05_wagon.png,0.708333333,0.916666667,Big
6,06_cable.png,0.041666667,0.5,Small
6,06_parthenon.png,0.666666667,0.708333333,Big
7,07_dice.png,0.625,0.75,Small
7,07_grill.png,0.541666667,0.708333333,Big
8,08_changepurse.png,0.666666667,0.833333333,Small
8,08_uprightpiano.png,0.833333333,0.875,Big
9,09_armchair.png,0.958333333,0.958333333,Big
9,09_mushroom.png,0.833333333,0.916666667,Small
10,10_bison.png,0.625,0.791666667,Big
10,10_bowtiepasta.png,0.5,0.875,Small
11,11_controller.png,0.75,0.791666667,Small
11,11_fountain13.png,0.666666667,0.833333333,Big
12,12_bookcase.png,0.958333333,0.958333333,Big
12,12_pencil sharpener 5.png,0.041666667,0.708333333,Small
13,13_piano.png,0.916666667,0.958333333,Big
13,13_rubberduck.png,1,1,Small
14,14_perfume.png,0.333333333,0.791666667,Small
14,14_washingMachine.png,0.875,0.833333333,Big
15,15_couch2.png,1,1,Big
15,15_scotchtape.png,1,1,Small
16,16_clock.png,1,1,Small
16,16_garbagecan.png,1,1,Big
17,17_hotairballoon2.png,0.833333333,0.833333333,Big
17,17_pinecone.png,0.625,0.833333333,Small
18,18_hotairballoon.png,0.791666667,0.791666667,Big
18,18_ringbox03.png,0.416666667,0.583333333,Small
19,19_garlic.png,0.333333333,0.833333333,Small
19,19_refrigerator.png,1,1,Big
20,20_ornament.png,0.666666667,0.833333333,Small
20,20_wheelchair.png,0.791666667,0.833333333,Big