SubInd,Age (Mo),AgeKeep,M/F,Count Keep
1,54,,F,1
2,57,57,F,2
3,54,54,F,3
4,48,48,M,4
5,50,50,F,5
6,52,52,F,6
7,52,52,F,7
8,53,53,F,8
9,49,,F,x
10,48,48,F,9
11,58,58,M,10
12,54,54,F,11
13,55,55,M,12
14,59,59,M,13
15,51,51,M,14
16,56,56,F,15
17,48,48,F,16
18,54,54,M,17
19,51,51,M,18
20,59,59,M,19
21,50,50,F,19
22,50,50,M,20
23,52,52,F,21
24,53,53,F,22
25,57,57,F,23
26,54,54,F,24
27,54,54,M,25
28,54,54,M,26
29,59,59,M,27
30,50,50,M,28
31,55,55,F,29
32,55,55,M,30
33,53,53,M,31